,goldDiff - TOP,goldDiff - JG,goldDiff - MID,goldDiff - ADC,goldDiff - SUPP,item0 - TOPB,item0 - SUPPR,item0 - MIDB,item0 - ADCB,item0 - SUPPB,item0 - TOPR,item0 - MIDR,item0 - ADCR,item1 - MIDB,level - TOPB,level - SUPPR,level - JGB,level - MIDB,level - ADCB,level - SUPPB,level - TOPR,level - JGR,level - MIDR,level - ADCR,minute,positionX - TOPB,positionX - SUPPR,positionX - JGB,positionX - MIDB,positionX - ADCB,positionX - SUPPB,positionX - TOPR,positionX - JGR,positionX - MIDR,positionX - ADCR,positionY - TOPB,positionY - SUPPR,positionY - JGB,positionY - MIDB,positionY - ADCB,positionY - SUPPB,positionY - TOPR,positionY - JGR,positionY - MIDR,positionY - ADCR,wardsKilled - MIDB,xpDiff - TOP,xpDiff - JG,xpDiff - MID,xpDiff - ADC,xpDiff - SUPP,wardsPlaced - MIDB
3823,-3117,-707,-99,-268,-148,3340,3364,3364,3363,3364,3340,3340,3363,0,13,10,11,14,12,10,14,11,14,12,25,7971,5970,5007,1048,6205,6863,9101,6294,5847,6277,8178,8848,7700,8679,6864,7451,1401,9252,8731,9043,False,-2650,-954,-513,178,-355,False
3824,264,-148,-298,37,99,3340,2055,3340,3340,3364,3340,3340,3340,0,10,6,7,9,8,6,10,7,9,8,13,3042,11605,2263,7257,12943,8626,3940,8195,11389,13483,12016,6125,8702,7605,1999,4818,13616,10167,11951,4740,False,5,179,-165,-176,77,False
3825,-3399,-668,144,-230,-212,3340,3364,3364,3363,3364,2055,3340,3363,0,13,10,11,14,13,10,14,11,14,12,26,1615,8612,2362,2483,6149,3991,13303,7643,6095,7462,12836,8328,8517,1866,6414,3799,5057,9635,13468,7509,False,-2487,-704,239,305,-199,True
3826,-3735,-421,179,-272,-272,3340,3364,3364,3363,3364,3363,3340,3363,0,13,10,11,14,13,10,15,12,14,13,27,5793,8330,4835,5061,5965,6255,7550,8312,4479,8726,5139,6587,8271,8489,6243,6173,3287,6516,13431,6658,True,-2951,-413,49,196,-49,True
3827,-3954,-466,67,-357,-445,3340,3364,3364,3363,3364,3363,3340,3363,0,13,10,11,15,13,10,15,12,15,13,28,6062,7839,4780,5741,5480,4771,7353,8301,7427,7422,6104,5758,7059,6491,6188,6318,7082,6240,6697,6918,False,-2866,-534,61,30,20,False
3828,-3821,-302,573,-179,-145,3340,3364,3364,3363,3364,3363,3340,3363,2055,14,11,12,16,14,11,15,12,15,13,29,9007,8998,6942,2977,6806,7302,12380,4122,2376,8923,1435,9528,4938,2374,7037,7127,12618,12780,12433,11445,False,-2053,-235,1200,618,668,False
3829,-3697,-385,448,25,-30,3340,3364,3364,3363,3364,3363,3340,3363,2055,14,11,12,16,14,11,16,12,15,14,30,1128,13306,521,1893,7075,1612,13155,12456,13134,12800,884,5877,669,7540,7005,1257,6709,6380,6800,7221,False,-1823,-563,1278,872,633,False
3830,-3690,-375,553,-64,-59,3340,3364,3364,3363,3364,3363,3340,3363,2055,15,11,12,16,14,11,16,13,16,14,31,3620,5409,4617,3956,2809,1756,5141,5390,5448,5645,10784,12536,10091,10547,11350,11191,13230,12905,12530,13237,False,-1926,-670,1478,659,628,True
3831,-3808,-304,797,86,126,3340,3364,3364,3363,3364,3363,3340,3363,0,15,11,12,17,15,12,16,13,16,14,32,5903,7661,7684,9716,3539,2639,5784,8870,7974,9266,1183,4255,3311,3407,13389,13555,13337,5585,4812,5478,False,-2071,-947,1722,677,998,False
3832,-4030,-381,831,-20,156,3340,3364,3363,3363,3364,3363,3340,3363,0,15,11,12,17,15,12,16,13,16,15,33,6936,7274,6760,6673,5961,6355,7639,7871,7674,7805,8198,6840,9325,7646,6625,6770,7340,7854,6798,7075,False,-2362,-1065,1794,337,1220,False
3833,-4669,-314,733,17,94,3340,3364,3363,3363,3364,3363,3364,3363,0,15,12,13,17,15,12,17,14,16,15,34,6944,14240,2225,7263,4980,4691,9902,9496,11630,14340,6436,14291,8386,7430,5362,1893,4853,10086,13054,14391,False,-2685,-1411,1308,103,610,True
3834,-4684,-428,890,98,64,3340,3364,3363,3363,3364,3363,3364,3363,0,15,12,13,17,15,12,17,14,16,15,35,8092,6260,4274,2190,4694,4818,6935,6375,6777,7021,1856,8108,7214,7590,7364,7600,7709,8509,7422,7780,False,-2560,-1707,1591,6,696,False
3835,598,-272,-158,-384,-82,3340,3364,3340,3340,3364,3340,3340,3340,0,10,7,8,9,8,7,10,8,10,8,14,394,10043,7275,8438,10058,10158,3839,10316,8879,11206,461,3101,1032,5083,1219,1321,13851,3053,4491,1391,False,345,192,-259,-809,-87,False
3836,-4796,-457,1033,355,-11,3340,3364,3363,3363,3364,3363,3364,3363,0,16,12,13,17,16,13,17,14,16,15,36,6290,3012,6657,4977,6646,5234,3091,3787,2689,2738,8295,9078,8211,7821,8138,9225,10933,10346,9899,9869,False,-2601,-1670,1756,369,891,True
3837,-4815,-368,1097,178,-62,3340,3364,3363,3363,3364,3363,3364,3363,0,16,12,13,17,16,13,17,14,17,16,37,10002,6167,4464,1715,10391,5891,8136,8291,7350,6477,6577,6681,2589,2608,5477,4940,8430,7811,5977,6246,False,-2632,-1383,1711,126,519,False
3838,-5024,-407,1293,-8,-62,3340,3364,3363,3363,3364,3363,3364,3363,0,16,13,13,18,16,13,17,14,17,16,38,1688,6056,4794,6058,5434,6243,5972,5850,6610,6749,7382,8338,6824,6264,5652,6255,9281,8551,7909,8416,False,-2662,-1687,2357,-7,166,True
3839,-5224,-456,1334,-514,-262,3340,3364,3363,3363,3364,3363,3364,3363,0,16,13,13,18,16,13,18,14,17,16,39,8482,7112,7250,7232,8533,8212,14340,8419,7082,7198,5173,6369,7948,4943,4946,7879,14391,6413,9543,7141,False,-2677,-1943,2468,-41,-102,True
3840,-5250,-380,1707,-395,-357,3363,3364,3363,3363,3364,3363,3364,3363,0,16,13,14,18,17,13,18,15,17,16,40,7688,14258,4643,3121,5999,6158,6258,7985,8513,9192,2556,14351,7728,7933,4992,3726,10131,10198,4846,11408,False,-3231,-1769,3118,247,-166,False
3841,-5229,-489,1290,-516,-407,3363,3364,3363,3363,3364,3363,3364,3363,0,16,14,14,18,17,13,18,15,17,17,41,2999,3625,2303,4558,1680,2923,4833,4877,4956,4832,5364,9758,9561,11620,4176,5703,8518,8747,7498,9589,False,-2981,-1906,2656,484,-157,False
3842,-5485,-844,1337,-887,-706,3363,3364,3363,3363,3364,3363,3364,3363,0,17,14,14,18,17,14,18,15,17,17,42,5580,7926,7897,2003,5450,6252,7160,8172,12075,6949,5583,8112,5673,4667,5624,4984,7349,7782,7827,7362,False,-3546,-2930,2749,-333,-989,True
